Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
3tAmi20722146: Beanie Mini Purse 2,,,,18,$180.00 ,,12.23%,,,,0.04%
HF373CAT: Scribble Lap Desk Caticorn,,,,2,$44.00 ,,2.99%,,,,0.01%
HF373TB: Scribble Lap Desk Butterfly,,,,1,$20.95 ,,1.42%,,,,0.00%
,,Miscellaneous Sub-Total,,140,"$1,471.91 ",,100.00%,,,,0.35%
,,Miscellaneous Sub-Total,,140,"$1,471.91 ",,,,,,0.35%
Plush,,,,,,,,,,,
Backpack,,,,,,,,,,,
95040: TY Sequin Backpack M 3,,,,1,$6.00 ,,0.04%,,,,0.00%
95044: TY Sequin Backpack M 2,,,,6,$49.00 ,,0.33%,,,,0.01%
,,Backpack Sub-Total,,7,$55.00 ,,0.37%,,,,0.01%
Bag,,,,,,,,,,,
092943328969: Sparkle Heart Pink,,,,8,$70.50 ,,0.47%,,,,0.02%
3tAmi20714925: TY Sequin Belt Bags 1,,,,1,$4.00 ,,0.03%,,,,0.00%
3tAmi20714927: TY Sequin Belt Bags 2,,,,1,$12.00 ,,0.08%,,,,0.00%
3tAmi20714929: TY Sequin Belt Bags 3,,,,3,$20.00 ,,0.13%,,,,0.00%
"AU32911: 6"" Plushy Purple",,,,1,$8.98 ,,0.06%,,,,0.00%
,,Bag Sub-Total,,14,$115.48 ,,0.78%,,,,0.03%
Dolls,,,,,,,,,,,
008421021000: TY small mermaid Cora,,,,34,$329.00 ,,2.19%,,,,0.08%
008421021000: TY small mermaid Cora,,,,-1,($3.00),,,,,,
008421021055: Ty Athena Sea Small,,,,12,$114.00 ,,0.77%,,,,0.03%
008421021079: TY Mermaid Small Azure,,,,17,$152.00 ,,1.02%,,,,0.04%
008421023158: Ty Anastasia Sea,,,,4,$64.00 ,,0.43%,,,,0.02%
008421425266: Ty Bamboo,,,,17,$106.00 ,,0.71%,,,,0.03%
,,Dolls Sub-Total,,83,$762.00 ,,5.11%,,,,0.18%
Plush,,,,,,,,,,,
008421250646: Ty Wilma Keychain,,,,10,$68.00 ,,0.46%,,,,0.02%
008421360062: TY Beanie Boos SM 94,,,,6,$48.00 ,,0.32%,,,,0.01%
008421361090: TY Beanie Boos SM 19,,,,1,$8.00 ,,0.05%,,,,0.00%
008421361588: TY Beanie Boos SM 11,,,,3,$24.00 ,,0.16%,,,,0.01%
008421362134: TY Beanie Boos SM 86,,,,1,$8.00 ,,0.05%,,,,0.00%
008421362523: TY Beanie Boos SM 2,,,,1,$8.00 ,,0.05%,,,,0.00%
008421363124: TY Beanie Boos SM 74,,,,5,$40.00 ,,0.27%,,,,0.01%
008421363254: Ty Moonlight,,,,1,$8.00 ,,0.05%,,,,0.00%
008421363834: TY Beanie Boos SM 48,,,,8,$64.00 ,,0.43%,,,,0.02%
008421363841: Ty Snookie,,,,3,$24.00 ,,0.16%,,,,0.01%
008421364732: Ty Beanie Boo 2,,,,5,$70.00 ,,0.47%,,,,0.02%
008421368525: TY Beanie Boos SM 10,,,,5,$38.00 ,,0.26%,,,,0.01%
008421368778: TY Beanie Boos SM 87,,,,1,$8.00 ,,0.05%,,,,0.00%
008421368983: TY Beanie Boos SM 13,,,,1,$8.00 ,,0.05%,,,,0.00%
008421371907: TY Beanie Boos SM 8,,,,7,$56.00 ,,0.38%,,,,0.01%
008421372232: TY Beanie Boos SM 85,,,,8,$59.60 ,,0.40%,,,,0.01%
008421372881: Ty Beanie Boo 1,,,,12,$168.00 ,,1.13%,,,,0.04%
008421391899: TY Heather Cat Squish,,,,4,$58.75 ,,0.39%,,,,0.01%
008421391912: TY Owen Owl Squish,,,,4,$68.00 ,,0.46%,,,,0.02%
008421392186: Ty Fetch,,,,5,$56.00 ,,0.38%,,,,0.01%
008421392193: TY Harmonie,,,,3,$30.00 ,,0.20%,,,,0.01%
008421392209: TY Linus,,,,1,$8.00 ,,0.05%,,,,0.00%
008421392216: Ty Livvie,,,,5,$92.00 ,,0.62%,,,,0.02%
008421392223: Ty Muffin,,,,2,$16.00 ,,0.11%,,,,0.00%
008421392247: TY Catnip Small,,,,1,$10.00 ,,0.07%,,,,0.00%
008421392254: TY SMALL SQUISH 11,,,,4,$33.00 ,,0.22%,,,,0.01%
008421392261: TY Poppy,,,,4,$28.00 ,,0.19%,,,,0.01%
008421392278: TY SMALL SQUISH 16,,,,1,$10.00 ,,0.07%,,,,0.00%
008421392285: TY Buttercup,,,,1,$8.00 ,,0.05%,,,,0.00%
008421392292: TY SMALL SQUISH 13,,,,3,$28.00 ,,0.19%,,,,0.01%
008421392308: TY SMALL SQUISH 12,,,,4,$19.20 ,,0.13%,,,,0.00%
008421392902: TY SMALL SQUISH 15,,,,3,$30.00 ,,0.20%,,,,0.01%
008421392957: TY Cooper,,,,4,$34.00 ,,0.23%,,,,0.01%
008421393084: TY SMALL SQUISH 14,,,,2,$18.00 ,,0.12%,,,,0.00%
008421393121: TY Bitsy,,,,6,$93.00 ,,0.62%,,,,0.02%
008421393138: TY Poppy Large,,,,5,$56.00 ,,0.38%,,,,0.01%
008421393145: TY Clover,,,,4,$44.00 ,,0.22%,,,,0.01%
008421393145: TY Clover,,,,-1,($11.00),,,,,,
008421393176: Ty Winks Large,,,,1,$20.00 ,,0.13%,,,,0.00%
008421393190: TY Large SQUISH 11,,,,5,$100.00 ,,0.67%,,,,0.02%
008421393206: TY Large SQUISH 14,,,,1,$20.00 ,,0.13%,,,,0.00%
008421393220: TY Large SQUISH 13,,,,5,$100.00 ,,0.67%,,,,0.02%
008421393237: TY Large SQUISH 12,,,,3,$50.00 ,,0.34%,,,,0.01%
008421393244: TY Buttercup Large,,,,1,$12.00 ,,0.08%,,,,0.00%
008421401734: TY Beanie Boos SM 45,,,,2,$16.00 ,,0.11%,,,,0.00%
008421401796: TY Beanie Boos SM 46,,,,4,$32.00 ,,0.21%,,,,0.01%
008421405398: TY Beanie Babies 1,,,,8,$64.00 ,,0.43%,,,,0.02%
008421405428: TY Beanie Babies 3,,,,5,$38.60 ,,0.26%,,,,0.01%
008421405442: TY Beanie Babies 4,,,,10,$80.00 ,,0.54%,,,,0.02%
008421405466: TY Beanie Babies 2,,,,18,$144.00 ,,0.97%,,,,0.03%
008421405473: TY Beanie Babies 7,,,,16,$122.80 ,,0.82%,,,,0.03%
008421405480: TY Beanie Babies 6,,,,10,$78.00 ,,0.52%,,,,0.02%
008421405497: Ty Duncan Beanie Baby,,,,6,$43.00 ,,0.29%,,,,0.01%
008421405961: TY Beanie Babies 5,,,,12,$96.00 ,,0.64%,,,,0.02%
008421410354: TY Beanie Boos SM 91,,,,1,$8.00 ,,0.05%,,,,0.00%
008421411894: captain america,,,,3,$26.00 ,,0.17%,,,,0.01%
008421411979: TY Beanie Boos SM 1,,,,5,$42.00 ,,0.28%,,,,0.01%
008421412174: TY LOLA BB SM,,,,7,$56.00 ,,0.38%,,,,0.01%
008421421213: TY Beanie Boos SM 93,,,,3,$24.00 ,,0.16%,,,,0.01%
008421421831: TY BUFF husky BB  SM,,,,1,$8.00 ,,0.05%,,,,0.00%
008421425228: Ty Princess Puffie,,,,10,$52.00 ,,0.35%,,,,0.01%
008421425242: Ty Tabar,,,,11,$63.00 ,,0.42%,,,,0.01%
02102C29A25C2:C810: INDIGO - mermaid sequin blue reg,,,,17,$153.00 ,,1.03%,,,,0.04%
02106: ANASTASIA - mermaid sequin multi reg,,,,9,$89.20 ,,0.60%,,,,0.02%
02300: CORA - mermaid sequin pink med,,,,17,$266.00 ,,1.79%,,,,0.06%
02301: LORELEI - mermaid sequin purple med,,,,11,$189.15 ,,1.27%,,,,0.04%
02302: INDIGO - mermaid sequin blue med,,,,16,$253.00 ,,1.70%,,,,0.06%
02316: AZURE - mermaid sequin aqua med,,,,7,$106.00 ,,0.71%,,,,0.03%
2: CHIMPS - monkey,,,,1,$7.00 ,,0.05%,,,,0.00%
25053: GLAMOUR - mini boos clip,,,,11,$59.75 ,,0.40%,,,,0.01%
25054: MOONLIGHT - mini boos clip,,,,6,$32.40 ,,0.22%,,,,0.01%
25055: PIXY - mini boos clip,,,,9,$48.75 ,,0.33%,,,,0.01%
25056: DARLING - mini boos clip,,,,16,$84.45 ,,0.57%,,,,0.02%
25057: CHI - panda mini boos clip,,,,4,$55.40 ,,0.37%,,,,0.01%
25060: SAFFIRE - mini boos clip,,,,12,$65.40 ,,0.44%,,,,0.02%
25061: STERLING - leopard mini boos clip,,,,17,$102.00 ,,0.68%,,,,0.02%
25065: FIONA - mini boos clip,,,,10,$50.55 ,,0.34%,,,,0.01%
25069: FETCH - dog white mini boos clip,,,,16,$90.80 ,,0.61%,,,,0.02%
25070: GRAPES - monkey purple mini boos clip,,,,12,$67.45 ,,0.45%,,,,0.02%
25072: GLIDER - penguin pink mini boos clip,,,,11,$123.40 ,,0.36%,,,,0.01%
25072: GLIDER - penguin pink mini boos clip,,,,-2,($70.40),,,,,,
25073: PATSY - poodle pink mini boos clip,,,,7,$42.00 ,,0.28%,,,,0.01%
31044: PAJAMA BEAR - bear pink reg,,,,1,$9.00 ,,0.06%,,,,0.00%
35244: CASSIDY - cat lavender clip,,,,4,$41.30 ,,0.28%,,,,0.01%
35245: TY BB CLIP ON MUDDLES,,,,3,$15.00 ,,0.10%,,,,0.00%
35246: TY BB CLIP ON NINA,,,,5,$25.00 ,,0.17%,,,,0.01%
35247: FIONA - pink cat clip,,,,10,$49.50 ,,0.33%,,,,0.01%
35248: TY BB CLIP ON LIVVIE,,,,2,$10.00 ,,0.07%,,,,0.00%
35249: ATLAS - fox aqua chevron clip,,,,8,$40.00 ,,0.27%,,,,0.01%
35250: TURBO - turtle clip,,,,4,$20.00 ,,0.13%,,,,0.00%
35254: LUTHER - dog spotted clip,,,,1,$5.00 ,,0.03%,,,,0.00%
35255: SHELDON - octopus coral clip,,,,5,$24.75 ,,0.17%,,,,0.01%
35256: ZUZU - dog tan clip,,,,10,$50.00 ,,0.34%,,,,0.01%
35257: STILTS - giraffe clip,,,,1,$4.95 ,,0.03%,,,,0.00%
35317: MOONLIGHT - owl sequin purple clip,,,,1,$26.40 ,,0.00%,,,,0.00%
35317: MOONLIGHT - owl sequin purple clip,,,,-1,($26.40),,,,,,
35318: YAPPY - chihuahua sequin clip,,,,1,$25.30 ,,0.17%,,,,0.01%
36209: COUNT - bat purple reg,,,,1,$41.80 ,,0.00%,,,,0.00%
36209: COUNT - bat purple reg,,,,-1,($41.80),,,,,,
36210: POTION - cat black w/pumpkin reg,,,,1,$8.00 ,,0.05%,,,,0.00%
36248: TY CASSIDY CAY BB SM,,,,3,$24.00 ,,0.16%,,,,0.01%
36278: COBB - spider reg,,,,1,$8.00 ,,0.05%,,,,0.00%
36281: ASHA - ostrich rainbow reg,,,,1,$8.00 ,,0.05%,,,,0.00%
36284: GISELLE - leopard with horn reg,,,,9,$72.00 ,,0.48%,,,,0.02%
36309: SPIRIT - German shepherd reg,,,,14,$92.40 ,,0.62%,,,,0.02%
36320: YIPS - chihuahua with horn reg,,,,1,$8.00 ,,0.05%,,,,0.00%
36327: BAMBOO - panda reg,,,,2,$13.20 ,,0.09%,,,,0.00%
36365: TY NINA MOUSE BB SM,,,,11,$88.00 ,,0.59%,,,,0.02%
36366: TY FIONA CAT BB SM,,,,9,$72.00 ,,0.48%,,,,0.02%
36367: TY LIVVIE LEOPARD BB SM,,,,3,$24.00 ,,0.16%,,,,0.01%
36371: MAI - cat pink reg,,,,1,$38.50 ,,0.26%,,,,0.01%
36372: TONY - penguin reg,,,,7,$53.00 ,,0.36%,,,,0.01%
36375: OAKIE - raccoon gray reg,,,,1,$6.60 ,,0.04%,,,,0.00%
36377: NOODLES - golden doodle reg,,,,4,$32.00 ,,0.21%,,,,0.01%
36379: MEADOW - fox orange reg,,,,11,$74.00 ,,0.50%,,,,0.02%
36386: EVA - elephant purple reg,,,,11,$75.40 ,,0.51%,,,,0.02%
36389: LUTHER - spotted dog reg,,,,3,$19.60 ,,0.13%,,,,0.00%
36390: SHELDON - octopus coral reg,,,,7,$56.00 ,,0.38%,,,,0.01%
36391: CHESSIE - monkey brown reg,,,,3,$24.00 ,,0.16%,,,,0.01%
36392: TURBO - turtle spotted reg,,,,3,$24.00 ,,0.16%,,,,0.01%
36393: ZUZU - dog tan reg,,,,6,$39.60 ,,0.27%,,,,0.01%
36394: STILTS - giraffe tan reg,,,,5,$40.00 ,,0.27%,,,,0.01%
36395: BECCA - bush baby pink reg,,,,5,$33.00 ,,0.22%,,,,0.01%
36413: POTION - cat black w/pumpkin med,,,,1,$14.00 ,,0.09%,,,,0.00%
36416: TY RODNEY hamster BB M,,,,1,$14.00 ,,0.09%,,,,0.00%
36417: TY DANGLER Sloth BB M,,,,3,$42.00 ,,0.28%,,,,0.01%
36452: TY JAMEL camel BB M,,,,3,$38.50 ,,0.16%,,,,0.01%
36452: TY JAMEL camel BB M,,,,-1,($14.00),,,,,,
36455: TY RAMSEY lion BB M,,,,2,$28.00 ,,0.19%,,,,0.01%
36461: TY MOONLIGHT BB M,,,,11,$154.00 ,,1.03%,,,,0.04%
36463: TY Bamboo Panda M,,,,7,$98.00 ,,0.66%,,,,0.02%
36464: TY ROSETTE BB M,,,,4,$56.00 ,,0.38%,,,,0.01%
36487: MUDDLES - dog brown white med,,,,2,$28.00 ,,0.19%,,,,0.01%
36489: FIONA - cat pink med,,,,6,$132.80 ,,0.89%,,,,0.03%
36503: SLUSH - husky clip,,,,5,$59.00 ,,0.40%,,,,0.01%
36559: DANGLER - sloth brown clip,,,,4,$20.00 ,,0.13%,,,,0.00%
36563: WASABI - baboon clip,,,,2,$10.00 ,,0.07%,,,,0.00%
36564: RUSTY - raccoon clip,,,,1,$4.95 ,,0.03%,,,,0.00%
36607: LANA - pink llama clip,,,,3,$14.85 ,,0.10%,,,,0.00%
36657: BARKS - dog brown clip,,,,1,$22.00 ,,0.15%,,,,0.01%
36759: DANGLER - grey sloth large,,,,2,$52.00 ,,0.35%,,,,0.01%
36902: SLUSH - husky med,,,,4,$77.60 ,,0.52%,,,,0.02%
37035: ZOEY - zebra pink med,,,,1,$16.00 ,,0.11%,,,,0.00%
37086: TY OWLETTE BB M,,,,7,$98.00 ,,0.66%,,,,0.02%
37147: SCREAM - ghost med,,,,1,$14.00 ,,0.09%,,,,0.00%
37153: DART - bat med,,,,1,$14.00 ,,0.09%,,,,0.00%
39187: TY Fantasia Unicorn Squish,,,,4,$77.00 ,,0.52%,,,,0.02%
39188: TY Giselle Leopard Squish,,,,1,$12.00 ,,0.08%,,,,0.00%
39196: TY GILBERT GIRAFFE SQUISH,,,,3,$60.00 ,,0.40%,,,,0.01%
39197: TY HELENA HUSKY SQUISH,,,,3,$51.00 ,,0.34%,,,,0.01%
39198: TY HOPE BEAR SQUISH,,,,8,$154.00 ,,1.03%,,,,0.04%
39199: TY LAINEY LEOPARD SQUISH,,,,2,$34.00 ,,0.23%,,,,0.01%
"39208: ""TICKLE - dog pink heart pattern squish 14""""""",,,,4,$128.90 ,,0.87%,,,,0.03%
"39213: ""FLURRY - snowman white squish 14""""""",,,,3,$88.20 ,,0.59%,,,,0.02%
"39214: ""COOKIE - gingerbread squish 14""""""",,,,1,$35.75 ,,0.24%,,,,0.01%
"39223: ""ROXIE - fox pink squish 10""""""",,,,8,$139.20 ,,0.93%,,,,0.03%
"39237: ""NESSA - squish 10""""""",,,,3,$19.80 ,,0.13%,,,,0.00%
"39238: ""KIRRA - cat with bow squish 10""""""",,,,4,$29.80 ,,0.20%,,,,0.01%
"39239: ""SONNY - pink pattern squish 10""""""",,,,1,$10.00 ,,0.07%,,,,0.00%
"39240: ""HILDEE - hedgehog multi squish 10""""""",,,,4,$29.80 ,,0.20%,,,,0.01%
"39241: ""DUNSTON - monkey squish 10""""""",,,,5,$37.16 ,,0.25%,,,,0.01%
"39242: ""OCTAVIA - octopus purple squish 10""""""",,,,7,$67.50 ,,0.45%,,,,0.02%
"39291: ""OWEN - rainbow owl squish 10""""""",,,,3,$23.20 ,,0.16%,,,,0.01%
"39298: ""HOPE - bear pastel squish 10""""""",,,,2,$34.20 ,,0.23%,,,,0.01%
"39309: ""FLURRY - snowman white squish 10""""""",,,,1,$10.00 ,,0.07%,,,,0.00%
"39318: ""FETCH - dog squish 10""""""",,,,6,$56.60 ,,0.38%,,,,0.01%
"39325: ""IZZY - lady bug squish 14""""""",,,,3,$77.40 ,,0.52%,,,,0.02%
"39326: ""ZINGER - bee squish 14""""""",,,,3,$42.00 ,,0.28%,,,,0.01%
"39334: ""NESSA - squish 14""""""",,,,3,$36.30 ,,0.24%,,,,0.01%
"39335: ""KIRRA - cat with bow squish 14""""""",,,,2,$24.20 ,,0.16%,,,,0.01%
"39336: ""SONNY - pink pattern squish 14""""""",,,,4,$54.30 ,,0.36%,,,,0.01%
"39337: ""HILDEE - hedgehog multi squish 14""""""",,,,3,$60.00 ,,0.40%,,,,0.01%
"39338: ""DUNSTON - monkey squish 14""""""",,,,4,$80.00 ,,0.54%,,,,0.02%
"39339: ""OCTAVIA - octopus purple squish 14""""""",,,,5,$68.40 ,,0.46%,,,,0.02%
39561: HEATHER - cat squish clip,,,,6,$29.90 ,,0.20%,,,,0.01%
39571: BAMBOO - panda squish clip,,,,1,$4.95 ,,0.03%,,,,0.00%
3tAmi20715362: TY Beanie Boos SM 97,,,,5,$40.00 ,,0.27%,,,,0.01%
3tAmi20768391: TY Beanie Boos SM 95,,,,3,$24.00 ,,0.16%,,,,0.01%
3tAmi21392903: TY SMALL SQUISH 2,,,,5,$50.00 ,,0.34%,,,,0.01%
3tAmi21392905: TY SMALL SQUISH 3,,,,4,$40.00 ,,0.27%,,,,0.01%
3tAmi21392907: TY SMALL SQUISH 5,,,,5,$50.00 ,,0.34%,,,,0.01%
3tAmi21392908: TY SMALL SQUISH 6,,,,3,$30.00 ,,0.20%,,,,0.01%
3tAmi21394164: TY SMALL SQUISH 7,,,,2,$20.00 ,,0.13%,,,,0.00%
3tAmi21394166: TY SMALL SQUISH 9,,,,3,$27.50 ,,0.18%,,,,0.01%
3tAmi21394204: TY SMALL SQUISH 10,,,,8,$80.00 ,,0.54%,,,,0.02%
3tAmi21631355: TY Beanie Boos XL 13,,,,1,$26.00 ,,0.17%,,,,0.01%
3tAmi21631361: TY Beanie Boos SM 92,,,,1,$8.00 ,,0.05%,,,,0.00%
3tAmi21652523: TYpuf Gizmo,,,,20,$100.00 ,,0.67%,,,,0.02%
3tAmi21673140: TY Beanie Boos XL 11,,,,1,$26.00 ,,0.17%,,,,0.01%
3tAmi21722196: TYpuf Seeds Pumpkin,,,,1,$5.00 ,,0.03%,,,,0.00%
3tAmi21722770: TYpuf Cleo,,,,28,$140.00 ,,0.94%,,,,0.03%
40242: COLIN - corgi reg,,,,1,$9.00 ,,0.06%,,,,0.00%
40448: MAX - dog multi (Autism) reg,,,,27,$179.60 ,,1.21%,,,,0.04%
40540: THUNDER - husky blue reg,,,,9,$73.00 ,,0.49%,,,,0.02%
40541: MATTEO - monkey brown reg,,,,6,$48.00 ,,0.32%,,,,0.01%
40543: IZZY - dog tan w blk ears reg,,,,2,$18.00 ,,0.12%,,,,0.00%
40545: SILAS - sloth reg,,,,7,$56.00 ,,0.27%,,,,0.01%
40545: SILAS - sloth reg,,,,-2,($16.00),,,,,,
40550: MANGO - cat gold reg,,,,7,$56.00 ,,0.38%,,,,0.01%
40595: BUMPER - hedgehog  reg,,,,1,$3.30 ,,0.02%,,,,0.00%
40699: RUGGLES - dog bwn/wht reg,,,,12,$96.00 ,,0.64%,,,,0.02%
40700: RANGER - dog black reg,,,,6,$39.60 ,,0.27%,,,,0.01%
40726: MELLY - koala gray reg,,,,6,$44.40 ,,0.30%,,,,0.01%
41098: MICKEY - super sparkle red reg,,,,2,$12.00 ,,0.08%,,,,0.00%
41188: SPIDERMAN - reg,,,,2,$18.00 ,,0.12%,,,,0.00%
41190: IRONMAN - reg,,,,2,$15.40 ,,0.10%,,,,0.00%
41191: HULK - reg,,,,4,$31.50 ,,0.21%,,,,0.01%
41215: GROOT - reg,,,,6,$42.50 ,,0.29%,,,,0.01%
41263: SIMBA - lion reg,,,,1,$9.00 ,,0.06%,,,,0.00%
41303: BRUNI - salamander reg,,,,5,$38.50 ,,0.26%,,,,0.01%
42186: TABOR - tiger pink/white reg,,,,1,$8.00 ,,0.05%,,,,0.00%
42500: HAZEL - hedgehog puf,,,,3,$15.00 ,,0.10%,,,,0.00%
42501: CAESAR - lion tan puf,,,,4,$18.56 ,,0.12%,,,,0.00%
42503: HEATHER - cat puf,,,,3,$15.00 ,,0.10%,,,,0.00%
42504: TYpuf Owen Owl,,,,14,$70.00 ,,0.47%,,,,0.02%
42505: TYpuf Colby Mouse,,,,3,$15.00 ,,0.10%,,,,0.00%
42507: TYpuf Tabitha Cat,,,,13,$65.00 ,,0.44%,,,,0.02%
42508: TYpuf Fantasia Unicorn,,,,19,$95.00 ,,0.64%,,,,0.02%
42509: MUFFIN - cat white puf,,,,5,$25.00 ,,0.17%,,,,0.01%
42510: TYpuf Waddles Penguin,,,,11,$55.00 ,,0.37%,,,,0.01%
42511: TYpuf Rainbow Poodle,,,,5,$25.00 ,,0.17%,,,,0.01%
42512: TYpuf Harmonie Unicorn,,,,35,$173.75 ,,1.17%,,,,0.04%
42513: TYpuf Prince Husky,,,,19,$95.00 ,,0.64%,,,,0.02%
42514: TYpuf Coconut Monkey,,,,12,$60.00 ,,0.40%,,,,0.01%
42519: DOTTY - multicolor leopard typuf,,,,18,$89.10 ,,0.60%,,,,0.02%
42523: MANDARIN - orange dog typuf,,,,11,$54.45 ,,0.37%,,,,0.01%
42525: TIA - cat pink typuf,,,,11,$56.00 ,,0.38%,,,,0.01%
42527: SHELDON - octopus coral typuf,,,,31,$143.66 ,,0.96%,,,,0.03%
50072: TY MONTANA bear cuddly M,,,,3,$30.00 ,,0.20%,,,,0.01%
60003: PENNI - penguin med,,,,3,$77.85 ,,0.52%,,,,0.02%
70008: BUCKLEY - deer reg,,,,6,$41.00 ,,0.28%,,,,0.01%
90181: TY DUMBO  M,,,,5,$70.00 ,,0.47%,,,,0.02%
90195: TY MINNIE M,,,,1,$15.00 ,,0.10%,,,,0.00%
90283: BUCKLEY - deer med,,,,4,$128.80 ,,0.86%,,,,0.03%
95120: KIKI - sequin purse,,,,1,$4.00 ,,0.03%,,,,0.00%
95121: FANTASIA - sequin purse,,,,2,$71.30 ,,0.48%,,,,0.02%
95124: DOTTY - sequin purse,,,,2,$12.00 ,,0.08%,,,,0.00%
95125: SLUSH - sequin purse,,,,3,$16.00 ,,0.11%,,,,0.00%
95127: GILDA - sequin purse,,,,1,$4.00 ,,0.03%,,,,0.00%
95223: OWEN - sequin wristlet,,,,1,$4.00 ,,0.03%,,,,0.00%
95224: DOTTY - sequin wristlet,,,,3,$18.00 ,,0.12%,,,,0.00%
95226: MOONLIGHT - sequin wristlet,,,,1,$6.00 ,,0.04%,,,,0.00%
95230: ZOEY - sequin wristlet,,,,1,$6.00 ,,0.04%,,,,0.00%
95253: ATLAS - mini purse,,,,19,$202.00 ,,1.36%,,,,0.05%
95255: FIONA - mini purse,,,,14,$153.00 ,,1.03%,,,,0.04%
95256: HOPE - mini purse,,,,20,$214.00 ,,1.44%,,,,0.05%
95257: MUDDLES - mini purse,,,,18,$191.00 ,,1.28%,,,,0.05%
95301: FANTASIA - slippers sml,,,,1,$10.00 ,,0.07%,,,,0.00%
95311: HEATHER - slippers sml,,,,1,$3.00 ,,0.02%,,,,0.00%
95806: BAMBOO - socks,,,,5,$40.00 ,,0.27%,,,,0.01%
95807: FANTASIA - socks,,,,2,$13.50 ,,0.09%,,,,0.00%
95808: KIKI - socks,,,,6,$44.00 ,,0.30%,,,,0.01%
95809: ZOEY - socks,,,,1,$8.00 ,,0.05%,,,,0.00%
95810: RAINBOW - socks,,,,2,$12.00 ,,0.08%,,,,0.00%
96299: SPIDERMAN - med,,,,3,$48.00 ,,0.32%,,,,0.01%
TY023059: TY Beanie Boos M 34,,,,13,$263.00 ,,1.77%,,,,0.06%
TY023066: TY Beanie Boos M 33,,,,14,$270.00 ,,1.81%,,,,0.06%
TY0528: TY Beanie Boos M 59,,,,1,$7.00 ,,0.05%,,,,0.00%
TY36282: TY Beanie Boos SM 57,,,,5,$40.00 ,,0.27%,,,,0.01%
TY36322: TY Beanie Boos SM 53,,,,7,$56.00 ,,0.38%,,,,0.01%
TY36328: TY Beanie Boos SM 39,,,,3,$24.00 ,,0.16%,,,,0.01%
TY36819: TY Beanie Boos XL 7,,,,4,$104.00 ,,0.70%,,,,0.02%
TY36891: TY Beanie Boos XL 8,,,,4,$104.00 ,,0.70%,,,,0.02%
TY41203: TY Beanie Boos SM 70,,,,2,$16.00 ,,0.11%,,,,0.00%
TY570: TY Beanie Boos M 5,,,,7,$98.00 ,,0.66%,,,,0.02%
TY621: TY Beanie Boos M 13,,,,6,$84.00 ,,0.56%,,,,0.02%
TY63201: TY Beanie Boos M 68,,,,1,$14.00 ,,0.09%,,,,0.00%
TY669: TY Beanie Boos M 12,,,,5,$70.00 ,,0.47%,,,,0.02%
TY69041: TY Beanie Boos M 66,,,,1,$14.00 ,,0.09%,,,,0.00%
TY757: TY Beanie Boos M 6,,,,3,$42.00 ,,0.28%,,,,0.01%
TYBBS2509: TY Beanie Boos SM 78,,,,5,$40.00 ,,0.27%,,,,0.01%
TYBBS8488: TY Beanie Boos SM 79,,,,8,$64.00 ,,0.43%,,,,0.02%
TYBBS8792: TY Beanie Boos SM 80,,,,6,$46.00 ,,0.31%,,,,0.01%
,,Plush Sub-Total,,"1,489","$13,686.88 ",,91.87%,,,,3.25%
Toys,,,,,,,,,,,
008421364930: Ty Mortimer the Bat,,,,5,$40.00 ,,0.27%,,,,0.01%
008421393213: TY SMALL SQUISH 1,,,,3,$26.00 ,,0.17%,,,,0.01%
008421394067: Christmas Squishy Beanie,,,,1,$21.00 ,,0.14%,,,,0.00%
008421425174: TY Puffies,,,,1,$6.00 ,,0.04%,,,,0.00%
"092943328570: Fancy Pals Heather Unicorn 7""",,,,7,$33.50 ,,0.22%,,,,0.01%
3008421363766: Ty Cat Opal,,,,19,$152.00 ,,1.02%,,,,0.04%
,,Toys Sub-Total,,36,$278.50 ,,1.87%,,,,0.07%
,,Plush Sub-Total,,"1,629","$14,897.86 ",,,,,,3.54%
Room Décor,,,,,,,,,,,
Bag,,,,,,,,,,,
850020859436: Rainbow Fill N' Chill,,,,2,$39.00 ,,1.12%,,,,0.01%
,,Bag Sub-Total,,2,$39.00 ,,1.12%,,,,0.01%
Books,,,,,,,,,,,
51799: Unicorn Day,,,,2,$26.09 ,,0.75%,,,,0.01%
"724-846: ""DREAM, SPARKLE, SHINE GLITTER/METALLIC JOURNAL""",,,,8,$35.20 ,,1.01%,,,,0.01%
724-920: MAGICAL UNICORN LOCK & KEY JOURNAL,,,,4,$57.20 ,,1.23%,,,,0.01%
724-920: MAGICAL UNICORN LOCK & KEY JOURNAL,,,,-1,($14.30),,,,,,
724-936: PINK AND BLUE HEART POPPER JOURNAL,,,,12,$197.50 ,,5.68%,,,,0.05%
724-939: DAISY GINGHAM PUFFY NOTEBOOK,,,,6,$35.30 ,,1.02%,,,,0.01%
724-942: COLOR MY LIFE ART JOURNAL,,,,5,$110.00 ,,3.16%,,,,0.03%
724-944: GUMBALL MACHINE PUFFY NOTEPAD,,,,2,$18.00 ,,0.52%,,,,0.00%
724-949: BUTTERFLY JOURNAL,,,,3,$42.90 ,,1.23%,,,,0.01%
"842817060309: ""Sticker Portfolio, Tie Dye Butterfly""",,,,3,$49.50 ,,1.42%,,,,0.01%
9781492636236: How to Catch a Dino Thief (TP),,,,1,$11.98 ,,0.34%,,,,0.00%
